name,symbol,price,change,volume,market_cap,pe_ratio
intel corporation,intc,48.78,4.85,180347000.0,243740000000,874.66
nvidia corporation,nvda,191.52,3.0,133523000.0,4663000000000,46.66
plug power inc.,plug,2.45,0.04,121203000.0,3410000000,--
ondas inc.,onds,12.27,0.01,97419000.0,5205000000,--
"bigbear.ai holdings, inc.",bbai,6.01,-0.15,86023000.0,2752000000,--
denison mines corp.,dnn,4.31,0.37,72204000.0,3867000000,--
at&t inc.,t,24.07,1.07,72024000.0,172110000000,7.62
itaú unibanco holding s.a.,itub,8.88,0.1,65718999.99999999,97916000000,11.42
banco bradesco s.a.,bbd,4.16,0.02,64965999.99999999,44204000000,10.64
nokia oyj,nok,6.82,-0.12,61771000.0,38651000000,37.35
b2gold corp.,btg,5.77,0.24,54121000.0,7710000000,35.76
redwire corporation,rdw,13.29,-0.91,51808000.0,2195000000,--
american airlines group inc.,aal,13.44,-0.11,51428000.0,8874000000,15.53
comcast corporation,cmcsa,28.41,-0.29,46404000.0,111968000000,4.77
grab holdings limited,grab,4.53,-0.16,46172000.0,18514000000,233.45
"sofi technologies, inc.",sofi,24.58,-0.88,45758000.0,31061000000,46.97
kenvue inc.,kvue,17.34,-0.16,45517000.0,33222000000,23.4
snap inc.,snap,7.67,0.21,45427000.0,13187000000,--
nu holdings ltd.,nu,18.76,0.21,44618000.0,90903000000,35.96
ford motor company,f,13.82,-0.11,43661000.0,55066000000,11.91
